Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,53.750000,54.599998,52.220001,52.400002,37.238281,183923700
2005-02-01,52.400002,53.740002,51.099998,51.610001,36.676849,181560100
2005-03-01,52.009998,53.490002,50.060001,50.110001,35.610874,373812500
2005-04-01,50.250000,50.500000,46.200001,47.139999,33.598995,337397100
2005-05-01,47.480000,49.459999,46.599998,47.230000,33.663162,255131200
2005-06-01,47.250000,50.299999,47.209999,48.200001,34.464516,238335200
2005-07-01,48.250000,50.689999,48.150002,49.349998,35.286800,183397900
2005-08-01,49.619999,49.869999,44.700001,44.959999,32.147804,280401100
2005-09-01,44.950001,46.480000,42.310001,43.820000,31.431786,445029400
2005-10-01,44.150002,47.549999,43.299999,47.310001,33.935135,309168500
2005-11-01,47.119999,50.869999,46.610001,48.560001,34.831749,267771900
2005-12-01,48.590000,49.740002,46.750000,46.799999,33.569313,258541900
2006-01-01,46.360001,46.950001,44.540001,46.110001,33.174969,322518700
2006-02-01,46.049999,47.020000,44.520000,45.360001,32.635372,236340600
2006-03-01,45.360001,48.869999,44.860001,47.240002,33.987984,267987900
2006-04-01,47.270000,47.310001,44.990002,45.029999,32.517544,197107100
2006-05-01,45.919998,50.000000,45.540001,48.450001,34.987228,302008400
2006-06-01,48.250000,49.189999,46.549999,48.169998,34.906658,245733000
2006-07-01,47.750000,48.049999,42.310001,44.500000,32.247185,269589700
2006-08-01,44.349998,45.450001,43.480000,44.720001,32.406605,237088700
2006-09-01,45.000000,49.950001,44.020000,49.320000,35.874897,265210400
2006-10-01,48.619999,52.150002,47.639999,49.279999,35.845806,365494300
2006-11-01,49.380001,49.700001,45.970001,46.099998,33.532700,371959900
2006-12-01,46.000000,46.889999,44.799999,46.180000,33.590893,278046300
2007-01-01,47.090000,48.779999,46.509998,47.689999,34.817009,289921200
2007-02-01,47.509998,50.419998,47.439999,48.310001,35.269638,278003300
2007-03-01,47.779999,48.320000,45.060001,46.950001,34.276737,347369500
2007-04-01,47.060001,49.950001,46.830002,47.919998,35.152386,257144500
2007-05-01,47.919998,48.880001,46.320000,47.599998,34.917629,309199900
2007-06-01,47.900002,51.439999,47.689999,48.110001,35.455563,443564800
2007-07-01,48.200001,49.259998,45.730000,45.950001,33.863697,345381600
2007-08-01,46.049999,48.419998,42.919998,43.630001,32.153942,561399200
2007-09-01,43.509998,45.049999,42.090000,43.650002,32.331005,376154000
2007-10-01,43.830002,47.700001,43.270000,45.209999,33.486477,437028000
2007-11-01,44.700001,48.230000,42.500000,47.900002,35.478931,432340500
2007-12-01,47.709999,50.049999,46.869999,47.529999,35.204861,304526500
2008-01-01,47.410000,51.299999,43.110001,50.740002,37.751873,594609500
2008-02-01,50.900002,51.570000,47.840000,49.590000,36.896236,476630200
2008-03-01,49.430000,54.150002,48.639999,52.680000,39.195271,490180000
2008-04-01,53.189999,59.040001,52.810001,57.980000,43.343483,439232000
2008-05-01,58.200001,59.090000,55.049999,57.740002,43.164059,392991100
2008-06-01,57.410000,59.950001,55.849998,56.200001,42.189690,443348300
2008-07-01,56.000000,59.560001,55.340000,58.619999,44.006393,495577900
2008-08-01,58.750000,61.000000,56.810001,59.070000,44.344234,395839100
2008-09-01,59.900002,63.849998,57.740002,59.889999,45.140755,560153900
2008-10-01,59.509998,60.299999,47.400002,55.810001,42.065536,748361300
2008-11-01,56.759998,57.250000,50.200001,55.880001,42.118305,514798100
2008-12-01,55.369999,59.230000,52.220001,56.060001,42.253960,469411500
