Date,Open,High,Low,Close,Adj Close,Volume
2004-12-30,36.818275,36.827267,36.602436,36.674381,17.070467,4476100
2004-12-31,36.674381,36.755322,36.422573,36.431564,16.957443,4122900
2005-01-03,36.692368,36.926193,36.305660,36.413578,16.949070,9235900
2005-01-04,36.584450,36.656395,35.838013,36.044857,16.777449,11680100
2005-01-05,36.080830,36.431564,35.936939,35.990898,16.752329,8201500
2005-01-06,35.613182,35.882977,35.208485,35.568214,16.734604,7844300
2005-01-07,35.793045,35.829018,35.343384,35.442310,16.675373,8424300
2005-01-10,35.478283,35.505264,34.956676,35.100567,16.514574,10087700
2005-01-11,35.109562,35.136539,34.686878,34.713860,16.332634,9305100
2005-01-12,34.174263,34.525002,33.877487,34.381107,16.176075,13962300
2005-01-13,33.724602,33.823528,33.140045,33.364876,15.697949,20131200
2005-01-14,33.202995,33.454807,33.032124,33.131050,15.587931,10249700
2005-01-18,33.131050,33.886482,32.843266,33.886482,15.943358,13386400
2005-01-19,33.508766,33.796551,32.960178,32.960178,15.507538,10558300
2005-01-20,32.528503,32.987160,32.195755,32.618435,15.346754,13373200
2005-01-21,33.095078,33.391853,32.789307,32.825279,15.444068,13119700
2005-01-24,32.825279,33.634670,32.708370,33.140045,15.592159,11983000
2005-01-25,33.140045,33.364876,32.240723,32.375618,15.232501,11559200
2005-01-26,32.375618,32.915215,32.375618,32.843266,15.452526,12685000
2005-01-27,32.600449,32.645416,32.132801,32.258709,15.177500,16697300
2005-01-28,32.348640,32.483540,31.548243,32.087837,15.097104,13421500
2005-01-31,32.195755,32.285686,31.683140,32.006897,15.059027,11637700
2005-02-01,32.258709,32.645416,32.123810,32.267700,15.181735,8528700
2005-02-02,32.555485,32.726357,32.132801,32.267700,15.181735,10696800
2005-02-03,32.357632,32.546490,32.168774,32.285686,15.190188,6531200
2005-02-04,32.438572,33.167023,32.402599,33.140045,15.592159,9405400
2005-02-07,33.229977,33.256954,32.843266,32.978165,15.515996,6032600
2005-02-08,33.140045,33.176018,32.681389,32.780315,15.422912,7971700
2005-02-09,32.825279,32.852261,32.375618,32.429577,15.257895,6945500
2005-02-10,32.465553,32.798302,32.240723,32.411591,15.249430,6677600
2005-02-11,32.600449,32.888233,32.393604,32.654408,15.363670,6502300
2005-02-14,32.654408,33.373867,32.483540,32.546490,15.312896,18089500
2005-02-15,32.843266,33.068096,32.492531,32.609444,15.342518,12067200
2005-02-16,32.645416,32.690384,32.339645,32.483540,15.283288,11621200
2005-02-17,32.420586,32.465553,31.997904,32.087837,15.097104,7852400
2005-02-18,32.087837,32.195755,31.620188,31.755087,14.940552,12942600
2005-02-22,31.737101,31.997904,31.656160,31.818039,14.970166,12761700
2005-02-23,31.836025,32.033878,31.593208,31.970924,15.042109,9184800
