Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,31.115000,31.375000,29.900000,30.650000,18.352392,159596600
2005-02-01,30.775000,31.090000,29.389999,29.690001,17.777571,150427800
2005-03-01,29.825001,30.559999,29.075001,29.900000,18.185806,175341200
2005-04-01,30.075001,30.450001,28.885000,29.969999,18.228388,175679600
2005-05-01,30.040001,30.900000,29.500000,30.205000,18.371319,140503200
2005-06-01,30.275000,31.110001,30.000000,30.790001,19.030146,143138000
2005-07-01,30.900000,31.434999,30.125000,30.670000,18.955980,150539200
2005-08-01,30.725000,30.955000,29.100000,29.809999,18.424444,162902400
2005-09-01,29.809999,30.125000,29.000000,29.285000,18.410175,216083000
2005-10-01,29.250000,30.330000,28.809999,30.100000,18.922527,201981600
2005-11-01,30.010000,32.349998,29.635000,31.424999,19.755501,201465800
2005-12-01,31.700001,32.240002,30.975000,31.415001,20.098217,143144200
2006-01-01,31.600000,31.975000,30.660000,31.180000,19.947876,184370400
2006-02-01,30.950001,32.470001,30.309999,32.099998,20.536457,146283200
2006-03-01,32.224998,32.755001,31.705000,31.934999,20.777414,167321200
2006-04-01,31.990000,34.555000,31.900000,34.345001,22.345400,146910400
2006-05-01,34.424999,34.619999,32.834999,33.185001,21.590685,199376800
2006-06-01,33.250000,34.855000,32.570000,33.540001,22.161131,231396200
2006-07-01,33.555000,36.290001,33.355000,36.169998,23.898872,210154800
2006-08-01,36.154999,36.889999,34.299999,34.750000,22.960623,187720300
2006-09-01,34.880001,36.490002,34.209999,36.180000,24.280369,132945900
2006-10-01,36.320000,36.990002,35.750000,36.290001,24.354183,143373800
2006-11-01,36.299999,36.950001,34.900002,35.240002,23.649527,152557700
2006-12-01,35.430000,36.160000,35.009998,35.560001,24.049845,168467400
2007-01-01,35.930000,36.639999,35.369999,35.919998,24.293316,211952100
2007-02-01,35.930000,36.360001,33.799999,34.700001,23.652691,212814000
2007-03-01,34.500000,35.570000,33.009998,34.430000,23.468647,321594000
2007-04-01,34.419998,36.490002,33.930000,35.889999,24.463829,272744000
2007-05-01,36.029999,36.490002,35.250000,36.090000,24.600153,240678600
2007-06-01,36.090000,36.470001,34.689999,35.169998,24.160765,238282500
2007-07-01,35.419998,36.009998,33.340000,33.770000,23.199009,347010100
2007-08-01,33.759998,37.990002,32.660000,36.540001,25.101921,574757900
2007-09-01,36.480000,37.990002,34.709999,35.619999,24.689251,299603100
2007-10-01,35.200001,37.779999,32.660000,34.009998,23.573320,436520200
2007-11-01,33.180000,34.290001,29.290001,32.430000,22.478189,725189100
2007-12-01,32.750000,33.430000,29.500000,30.190001,21.124313,438998200
2008-01-01,30.480000,34.250000,24.379999,34.080002,23.846191,946469700
2008-02-01,33.259998,34.560001,28.750000,29.230000,20.452593,633972700
2008-03-01,29.240000,33.529999,27.100000,29.100000,20.570911,803046600
2008-04-01,30.330000,31.770000,27.080000,29.750000,21.030403,682338000
2008-05-01,29.770000,32.400002,26.629999,27.570000,19.489353,547243800
2008-06-01,27.469999,27.540001,23.459999,23.750000,16.957090,881900200
2008-07-01,23.469999,31.969999,20.459999,30.270000,21.612249,1650558200
2008-08-01,30.270000,32.070000,27.170000,30.270000,21.612249,900294300
2008-09-01,31.219999,44.750000,28.790001,37.529999,27.087778,1440024400
