Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,31.600000,32.500000,30.809999,32.389999,20.590382,93212300
2005-02-01,32.049999,33.250000,31.400000,33.080002,21.029022,85869800
2005-03-01,33.020000,34.560001,30.959999,31.139999,19.795757,107381300
2005-04-01,31.200001,31.910000,29.110001,29.309999,18.632418,117649100
2005-05-01,29.120001,31.500000,29.120001,30.940001,19.668612,101818900
2005-06-01,30.840000,31.209999,27.740000,27.750000,17.640724,137606500
2005-07-01,27.809999,31.250000,27.360001,31.170000,19.814829,123850500
2005-08-01,30.250000,34.700001,30.250000,32.450001,20.628532,176113000
2005-09-01,32.299999,35.029999,31.309999,33.490002,21.289656,195289500
2005-10-01,33.400002,34.020000,31.480000,31.600000,20.088177,163251100
2005-11-01,32.730000,34.759998,31.610001,33.849998,21.518501,158617300
2005-12-01,34.230000,35.689999,33.580002,33.720001,21.875616,111305900
2006-01-01,34.290001,36.310001,33.200001,35.009998,22.712482,172586800
2006-02-01,35.009998,36.750000,34.889999,34.910000,22.647615,101717900
2006-03-01,35.000000,35.250000,34.110001,34.360001,22.290813,112047900
2006-04-01,34.450001,35.570000,33.709999,34.570000,22.427044,106187800
2006-05-01,34.639999,35.990002,32.619999,33.169998,21.518808,120458500
2006-06-01,32.970001,34.599998,31.730000,33.599998,21.797768,131708100
2006-07-01,33.700001,35.500000,32.750000,35.389999,22.959017,109918200
2006-08-01,35.200001,36.250000,34.220001,35.900002,23.289869,97181000
2006-09-01,36.250000,40.060001,36.009998,39.119999,25.378828,182563500
2006-10-01,39.119999,42.480000,38.950001,41.919998,27.195299,426927400
2006-11-01,42.150002,42.259998,40.790001,41.970001,27.227739,163643700
2006-12-01,42.180000,44.680000,41.700001,44.330002,29.460726,102668500
2007-01-01,43.650002,45.060001,42.540001,44.349998,29.474020,140837800
2007-02-01,44.259998,46.209999,43.380001,43.689999,29.035393,108331900
2007-03-01,43.490002,45.490002,42.310001,45.049999,29.939224,140190900
2007-04-01,44.279999,49.700001,44.259998,48.279999,32.085796,145227100
2007-05-01,48.209999,52.580002,48.209999,50.549999,33.594387,190214400
2007-06-01,50.560001,52.880001,50.020000,50.759998,33.733959,151087700
2007-07-01,51.189999,53.220001,47.860001,47.869999,31.813324,152476800
2007-08-01,47.680000,51.880001,46.639999,49.250000,32.730442,184713500
2007-09-01,49.130001,55.730000,48.810001,54.470001,36.199532,184427200
2007-10-01,54.750000,59.849998,54.669998,59.750000,39.708500,169180500
2007-11-01,59.349998,59.919998,56.240002,58.470001,38.857845,210604500
2007-12-01,58.450001,63.689999,58.099998,58.910000,40.179806,145737700
2008-01-01,59.480000,59.480000,49.360001,53.580002,36.544460,322895900
2008-02-01,53.669998,57.070000,52.849998,54.110001,36.905933,173118000
2008-03-01,53.980000,56.509998,52.000000,55.770000,38.297718,176502600
2008-04-01,56.040001,60.599998,55.139999,59.580002,40.914093,162566400
2008-05-01,59.540001,61.759998,57.310001,59.320000,40.735535,130719300
2008-06-01,59.119999,60.410000,55.169998,56.220001,38.606739,170062300
2008-07-01,55.869999,61.209999,55.700001,59.790001,41.325584,199976900
2008-08-01,59.830002,67.000000,59.439999,62.000000,42.853069,187320500
2008-09-01,62.389999,65.470001,59.560001,61.700001,42.904903,235712800
2008-10-01,61.180000,64.019997,45.790001,57.930000,40.283321,340794300
2008-11-01,58.410000,58.980000,51.150002,58.750000,40.853523,222422600
2008-12-01,58.070000,63.990002,55.439999,62.189999,43.629627,231622200
